,edit_count,sentiment,neg_sentiment
2016-03-30,1.6,-0.0809140869785869,0.32619047619047614
2016-03-31,1.5333333333333334,-0.11416614341830451,0.3428571428571428
2016-04-01,1.5333333333333334,-0.11416614341830451,0.3428571428571428
2016-04-02,1.5333333333333334,-0.11416614341830451,0.3428571428571428
2016-04-03,1.5333333333333334,-0.11416614341830451,0.3428571428571428
2016-04-04,1.5333333333333334,-0.11416614341830451,0.3428571428571428
2016-04-05,1.4666666666666666,-0.11316009251371263,0.32619047619047614
2016-04-06,1.4666666666666666,-0.11316009251371263,0.32619047619047614
2016-04-07,1.4666666666666666,-0.11316009251371263,0.32619047619047614
2016-04-08,1.4333333333333333,-0.080021090190562,0.2928571428571428
2016-04-09,1.3666666666666667,-0.08024719246323148,0.27619047619047615
2016-04-10,1.3333333333333333,-0.11217160014406084,0.29285714285714287
2016-04-11,1.3333333333333333,-0.11217160014406084,0.29285714285714287
2016-04-12,1.2,-0.10952739058032869,0.2761904761904762
2016-04-13,1.1333333333333333,-0.07761523463423291,0.24285714285714288
2016-04-14,0.9333333333333333,-0.11913929349846311,0.26666666666666666
2016-04-15,0.8666666666666667,-0.11196953422493405,0.25
2016-04-16,0.8333333333333334,-0.10901483992735544,0.25
2016-04-17,0.8,-0.14213775495688122,0.25
2016-04-18,0.7333333333333333,-0.13806333839893342,0.23333333333333334
2016-04-19,0.6666666666666666,-0.12353853633006413,0.225
2016-04-20,0.6666666666666666,-0.12477072725693385,0.225
2016-04-21,0.6666666666666666,-0.12477072725693385,0.225
2016-04-22,0.5333333333333333,-0.12416443477074306,0.20833333333333334
2016-04-23,0.5666666666666667,-0.157728740076224,0.225
2016-04-24,0.6,-0.15689836392800013,0.225
2016-04-25,0.6666666666666666,-0.15650690148274105,0.24166666666666667
2016-04-26,0.8333333333333334,-0.17601116925477983,0.26833333333333337
2016-04-27,0.9333333333333333,-0.18990916904475955,0.29055555555555557
2016-04-28,0.8,-0.17210622178183663,0.26555555555555554
2016-04-29,0.8,-0.17210622178183663,0.26555555555555554
2016-04-30,0.7333333333333333,-0.13888385044203863,0.23222222222222222
2016-05-01,0.8,-0.17182766146130032,0.26555555555555554
2016-05-02,1.1666666666666667,-0.1746261349350515,0.28373737373737373
2016-05-03,1.4,-0.1884203552804124,0.30754689754689757
2016-05-04,1.5,-0.22157954635902227,0.3408802308802309
2016-05-05,1.5333333333333334,-0.2508009181686638,0.3742135642135642
2016-05-06,1.5666666666666667,-0.28411354087475915,0.40754689754689755
2016-05-07,1.6,-0.31619514090502243,0.44088023088023093
2016-05-08,1.6,-0.31619514090502243,0.44088023088023093
2016-05-09,1.6,-0.31619514090502243,0.44088023088023093
2016-05-10,1.5666666666666667,-0.28288875483159204,0.40754689754689755
2016-05-11,1.5666666666666667,-0.28288875483159204,0.40754689754689755
2016-05-12,1.6333333333333333,-0.3159499601789711,0.44088023088023093
2016-05-13,1.6333333333333333,-0.3159499601789711,0.44088023088023093
2016-05-14,1.6333333333333333,-0.2522356744873919,0.40754689754689755
2016-05-15,1.7333333333333334,-0.28046772442940854,0.44088023088023093
2016-05-16,2.066666666666667,-0.2815687045059335,0.44088023088023093
2016-05-17,2.1666666666666665,-0.31485371238010446,0.47421356421356425
2016-05-18,2.1666666666666665,-0.31485371238010446,0.47421356421356425
2016-05-19,2.1,-0.33979107783255297,0.47421356421356425
2016-05-20,2.033333333333333,-0.3385609839957686,0.4575468975468976
2016-05-21,2.066666666666667,-0.3717677826287083,0.4908802308802309
2016-05-22,2.066666666666667,-0.3717677826287083,0.4908802308802309
2016-05-23,2.2,-0.404204473025441,0.5075468975468975
2016-05-24,2.1333333333333333,-0.37181869459831696,0.47421356421356425
2016-05-25,2.1666666666666665,-0.4054964046943583,0.4908802308802309
2016-05-26,2.066666666666667,-0.4160460852849879,0.49754689754689757
2016-05-27,2.0,-0.43513680464046517,0.5086580086580087
2016-05-28,2.0,-0.43513680464046517,0.5086580086580087
2016-05-29,2.0,-0.43513680464046517,0.5086580086580087
2016-05-30,2.1,-0.44626874691265145,0.5308802308802308
2016-05-31,2.066666666666667,-0.43242299324291267,0.5308802308802308
2016-06-01,1.7,-0.42962451976916144,0.5126984126984128
2016-06-02,1.4666666666666666,-0.4158302994238005,0.4888888888888889
2016-06-03,1.4,-0.35333748906850815,0.45555555555555555
2016-06-04,1.4,-0.3462661092480024,0.45555555555555555
2016-06-05,1.4,-0.3461780751744906,0.45555555555555555
2016-06-06,1.4666666666666666,-0.3471344687872463,0.45555555555555555
2016-06-07,1.5,-0.31424019916190044,0.45555555555555555
2016-06-08,1.5333333333333334,-0.34748125457101403,0.4888888888888889
2016-06-09,1.6333333333333333,-0.3557725123233266,0.5111111111111112
2016-06-10,1.6333333333333333,-0.3557725123233266,0.5111111111111112
2016-06-11,1.5666666666666667,-0.3227113069759475,0.4777777777777778
2016-06-12,1.5666666666666667,-0.3227113069759475,0.4777777777777778
2016-06-13,1.5333333333333334,-0.35315224544869533,0.4777777777777778
2016-06-14,1.4333333333333333,-0.3249201955066787,0.4444444444444445
2016-06-15,1.0333333333333334,-0.2934947305255466,0.41111111111111115
2016-06-16,1.0,-0.28867362671428254,0.41111111111111115
2016-06-17,1.0,-0.28867362671428254,0.41111111111111115
2016-06-18,1.0333333333333334,-0.3212270809544457,0.4444444444444445
2016-06-19,1.0333333333333334,-0.3212270809544457,0.4444444444444445
2016-06-20,1.0,-0.28802028232150606,0.41111111111111115
2016-06-21,1.0,-0.28802028232150606,0.41111111111111115
2016-06-22,0.8,-0.25529327160782284,0.3777777777777778
2016-06-23,0.8333333333333334,-0.28861700660652584,0.41111111111111115
2016-06-24,0.7333333333333333,-0.2553307589557436,0.3777777777777778
2016-06-25,0.8666666666666667,-0.245964292022917,0.3722222222222222
2016-06-26,1.1,-0.24518236551019879,0.3722222222222222
2016-06-27,1.2666666666666666,-0.26711296591493816,0.3988888888888889
2016-06-28,1.4,-0.2996982127759191,0.43222222222222223
2016-06-29,1.8333333333333333,-0.3020227543099059,0.43291666666666667
2016-06-30,1.8666666666666667,-0.31622873858445216,0.43291666666666667
2016-07-01,1.8666666666666667,-0.31622873858445216,0.43291666666666667
2016-07-02,1.9666666666666666,-0.30614905141294,0.4440277777777778
2016-07-03,2.433333333333333,-0.3504042390568388,0.46847222222222223
2016-07-04,2.433333333333333,-0.3615739686869912,0.46847222222222223
2016-07-05,2.466666666666667,-0.36167121962540677,0.46847222222222223
2016-07-06,2.533333333333333,-0.3618085760126511,0.46847222222222223
2016-07-07,2.566666666666667,-0.4278476494799058,0.5018055555555556
2016-07-08,2.566666666666667,-0.42759061239659785,0.5018055555555556
2016-07-09,2.966666666666667,-0.44283648420539173,0.5084722222222223
2016-07-10,3.7333333333333334,-0.46512927156031714,0.5360084541062803
2016-07-11,3.8666666666666667,-0.498333555870658,0.5693417874396136
2016-07-12,3.966666666666667,-0.5316487674051581,0.6026751207729469
2016-07-13,4.6,-0.5514648562907498,0.6289909102466311
2016-07-14,4.6,-0.5514648562907498,0.6289909102466311
2016-07-15,4.6,-0.5514648562907498,0.6289909102466311
2016-07-16,4.533333333333333,-0.5230009522278429,0.5956575769132978
2016-07-17,4.533333333333333,-0.5230009522278429,0.5956575769132978
2016-07-18,4.5,-0.4904474979876798,0.5623242435799644
2016-07-19,4.5,-0.4904474979876798,0.5623242435799644
2016-07-20,4.5,-0.4904474979876798,0.5623242435799644
2016-07-21,4.5,-0.4904474979876798,0.5623242435799644
2016-07-22,4.566666666666666,-0.49035188816381703,0.5789909102466311
2016-07-23,4.533333333333333,-0.457028153165114,0.5456575769132977
2016-07-24,4.533333333333333,-0.457028153165114,0.5456575769132977
2016-07-25,4.333333333333333,-0.43634067173527225,0.51787979913552
2016-07-26,4.066666666666666,-0.4041338791025335,0.4845464658021867
2016-07-27,3.933333333333333,-0.41529295023010715,0.4912131324688533
2016-07-28,3.8,-0.3827077033691262,0.45787979913551996
2016-07-29,3.3333333333333335,-0.3680643599552566,0.45162979913552
2016-07-30,3.2666666666666666,-0.3347603183311874,0.41829646580218666
2016-07-31,3.2666666666666666,-0.3347603183311874,0.41829646580218666
2016-08-01,3.1666666666666665,-0.34484000550269955,0.4071853546910756
2016-08-02,2.6666666666666665,-0.3299184371354833,0.3827409102466311
2016-08-03,2.6333333333333333,-0.29659871551619515,0.34940757691329777
2016-08-04,2.566666666666667,-0.263276875945196,0.31607424357996444
2016-08-05,2.4,-0.23010152591493274,0.2827409102466311
2016-08-06,2.3333333333333335,-0.19695672207302398,0.24940757691329776
2016-08-07,2.5,-0.15499441603713446,0.22718535469107554
2016-08-08,2.033333333333333,-0.09820480684333258,0.19829646580218663
2016-08-09,1.2666666666666666,-0.07591201948840715,0.17076023391812864
2016-08-10,1.2,-0.07484329231301245,0.17076023391812864
2016-08-11,1.1666666666666667,-0.0416017044357389,0.15409356725146198
2016-08-12,0.5333333333333333,-0.021785615550147165,0.1277777777777778
2016-08-13,0.5333333333333333,-0.021785615550147165,0.1277777777777778
2016-08-14,0.5333333333333333,-0.021785615550147165,0.1277777777777778
2016-08-15,0.9333333333333333,-0.049090634120835204,0.15833333333333335
2016-08-16,0.9333333333333333,-0.049090634120835204,0.15833333333333335
2016-08-17,0.9333333333333333,-0.049090634120835204,0.15833333333333335
2016-08-18,0.9333333333333333,-0.049090634120835204,0.15833333333333335
2016-08-19,0.9333333333333333,-0.049090634120835204,0.15833333333333335
2016-08-20,0.9333333333333333,-0.049090634120835204,0.15833333333333335
2016-08-21,0.8666666666666667,-0.049186243944697915,0.1416666666666667
2016-08-22,0.8666666666666667,-0.049186243944697915,0.1416666666666667
2016-08-23,0.8666666666666667,-0.049186243944697915,0.1416666666666667
2016-08-24,0.8666666666666667,-0.049186243944697915,0.1416666666666667
2016-08-25,0.8666666666666667,-0.049186243944697915,0.1416666666666667
2016-08-26,0.8333333333333334,-0.016096572412384883,0.10833333333333335
2016-08-27,0.9,0.016636256045765345,0.10833333333333335
2016-08-28,0.8333333333333334,0.015449396438068811,0.09166666666666669
2016-08-29,0.8333333333333334,0.015449396438068811,0.09166666666666669
2016-08-30,0.8333333333333334,0.015449396438068811,0.09166666666666669
2016-08-31,0.8333333333333334,0.015449396438068811,0.09166666666666669
2016-09-01,0.9666666666666667,-0.017561481230788763,0.12500000000000003
2016-09-02,1.1,-0.050860167377524905,0.15833333333333333
2016-09-03,1.7333333333333334,-0.06983056757708042,0.18464912280701756
2016-09-04,1.8333333333333333,-0.08478627165681438,0.2068713450292398
2016-09-05,1.9,-0.082235434259239,0.22353801169590645
2016-09-06,1.8,-0.12441884703629198,0.24576023391812868
2016-09-07,2.1,-0.1651946366547841,0.2657602339181287
2016-09-08,2.1,-0.1651946366547841,0.2657602339181287
2016-09-09,2.033333333333333,-0.13305907951983792,0.23242690058479534
2016-09-10,1.9666666666666666,-0.13298545586261137,0.21576023391812868
2016-09-11,1.9666666666666666,-0.13298545586261137,0.21576023391812868
2016-09-12,2.066666666666667,-0.16505977750347375,0.249093567251462
2016-09-13,2.1,-0.19825151006903569,0.28242690058479536
2016-09-14,1.7666666666666666,-0.20390229199190588,0.2852046783625731
2016-09-15,1.9333333333333333,-0.22112599346895664,0.3118713450292398
2016-09-16,2.1333333333333333,-0.24331640634794682,0.33964912280701753
2016-09-17,2.1333333333333333,-0.24331640634794682,0.33964912280701753
2016-09-18,2.533333333333333,-0.24277457694735444,0.3563157894736842
2016-09-19,3.1,-0.2528679794592877,0.3778844169246646
2016-09-20,3.2666666666666666,-0.2616521579546948,0.39788441692466464
2016-09-21,3.2666666666666666,-0.2616521579546948,0.39788441692466464
2016-09-22,3.2666666666666666,-0.2616521579546948,0.39788441692466464
2016-09-23,3.466666666666667,-0.26313144258557625,0.4145510835913313
2016-09-24,3.5,-0.2964582968940225,0.44788441692466463
2016-09-25,3.6,-0.3075148697551641,0.47010663914688683
2016-09-26,3.533333333333333,-0.34024769821331435,0.47010663914688683
2016-09-27,3.533333333333333,-0.34024769821331435,0.47010663914688683
2016-09-28,3.533333333333333,-0.34024769821331435,0.47010663914688683
2016-09-29,3.533333333333333,-0.34024769821331435,0.47010663914688683
2016-09-30,3.566666666666667,-0.373469495361701,0.5034399724802202
2016-10-01,3.9,-0.3652250514994898,0.4986780677183154
2016-10-02,3.8666666666666667,-0.3652183463080895,0.4986780677183154
2016-10-03,3.4,-0.37948086429154276,0.5056956115779646
2016-10-04,3.433333333333333,-0.3669077565456305,0.500140056022409
2016-10-05,4.1,-0.3965243461640822,0.5137764196587725
2016-10-06,4.133333333333334,-0.38202078685947394,0.5054430863254392
2016-10-07,4.5,-0.3906435444627257,0.5108399117222647
2016-10-08,4.666666666666667,-0.397314284113452,0.5308399117222646
2016-10-09,4.933333333333334,-0.42963629302124695,0.564173245055598
2016-10-10,5.233333333333333,-0.44079104488719906,0.5863954672778202
2016-10-11,6.033333333333333,-0.4503933486073819,0.6072288006111536
2016-10-12,6.233333333333333,-0.44298785252225026,0.6035250969074499
2016-10-13,6.433333333333334,-0.41606052526400394,0.5892393826217356
2016-10-14,6.4,-0.41635531493590183,0.5892393826217356
2016-10-15,6.433333333333334,-0.4114882659438509,0.5847949381772911
2016-10-16,6.266666666666667,-0.42261743958028736,0.5903504937328468
2016-10-17,6.433333333333334,-0.4290716621799527,0.6103504937328467
2016-10-18,6.233333333333333,-0.43240252602662554,0.6103504937328467
2016-10-19,5.666666666666667,-0.42230912351469224,0.5887818662818662
2016-10-20,5.6,-0.42592980739666386,0.5910040885040886
2016-10-21,5.9,-0.43609361614865316,0.6132263107263108
2016-10-22,5.966666666666667,-0.46939946379345904,0.6465596440596442
2016-10-23,5.866666666666666,-0.4979869494777479,0.6632263107263108
2016-10-24,5.9,-0.49786968528643827,0.6632263107263108
2016-10-25,5.9,-0.4812464670944438,0.6521151996151996
2016-10-26,6.033333333333333,-0.46492203937055915,0.6604485329485329
2016-10-27,6.2,-0.47150509184680633,0.680448532948533
2016-10-28,6.2,-0.47150509184680633,0.680448532948533
2016-10-29,6.233333333333333,-0.5048288546610102,0.7137818662818664
2016-10-30,6.466666666666667,-0.47528732171736415,0.6971151996151996
2016-10-31,6.0,-0.45052088791071765,0.668543771043771
2016-11-01,5.9,-0.41722890695538184,0.6352104377104377
2016-11-02,5.766666666666667,-0.4173188833455847,0.6352104377104377
2016-11-03,5.666666666666667,-0.4482408253412054,0.6518771043771044
2016-11-04,4.933333333333334,-0.4211750731203291,0.6215740740740741
2016-11-05,4.833333333333333,-0.37753614190551965,0.596574074074074
2016-11-06,4.166666666666667,-0.3819702329474782,0.604510582010582
2016-11-07,4.466666666666667,-0.38416502713684053,0.6059391534391535
2016-11-08,4.6,-0.34880302703569804,0.5864947089947089
2016-11-09,4.533333333333333,-0.3520030227035441,0.5880820105820105
2016-11-10,3.966666666666667,-0.36470170003948393,0.5958201058201058
2016-11-11,3.8333333333333335,-0.3611038213361193,0.592857142857143
2016-11-12,3.7666666666666666,-0.37611305324410005,0.6004761904761905
2016-11-13,3.7333333333333334,-0.34286246307864393,0.5671428571428572
2016-11-14,3.8,-0.34723161152509785,0.5699206349206349
2016-11-15,3.7666666666666666,-0.3139120250096712,0.5365873015873016
2016-11-16,3.6,-0.3074578024100059,0.5165873015873016
2016-11-17,3.533333333333333,-0.3221011849394236,0.5249206349206349
2016-11-18,3.6,-0.35540920815376376,0.5582539682539683
2016-11-19,3.533333333333333,-0.3658487179694037,0.5693650793650794
2016-11-20,3.2666666666666666,-0.3884067068426382,0.5804761904761905
2016-11-21,3.3666666666666667,-0.3593695312667461,0.5671428571428571
2016-11-22,3.3,-0.36259744464641525,0.5671428571428571
2016-11-23,3.2333333333333334,-0.32938785452927866,0.5338095238095237
2016-11-24,3.1333333333333333,-0.3349544998601316,0.5226984126984127
2016-11-25,3.2,-0.340738767709524,0.5254761904761904
2016-11-26,3.066666666666667,-0.3021640983484094,0.5054761904761905
2016-11-27,3.066666666666667,-0.3021640983484094,0.5054761904761905
2016-11-28,3.033333333333333,-0.2688403355342055,0.47214285714285714
2016-11-29,2.7666666666666666,-0.265160071329465,0.4554761904761905
2016-11-30,2.7666666666666666,-0.265160071329465,0.4554761904761905
2016-12-01,2.8333333333333335,-0.2923284763854647,0.4888095238095238
2016-12-02,2.8,-0.2590055818122531,0.4554761904761905
2016-12-03,2.966666666666667,-0.25842226327411716,0.4554761904761905
2016-12-04,3.0,-0.22539905688119313,0.4554761904761905
2016-12-05,3.033333333333333,-0.28339893798979504,0.4888095238095238
2016-12-06,3.066666666666667,-0.2959137358362713,0.4888095238095238
